providerOwnerEmail,serviceTitle,imageUrl,sortOrder
arben.plumbing@quickfix.test,Emergency Leak Repair,https://images.unsplash.com/photo-1607472586893-edb57bdc0e39?auto=format&fit=crop&w=1200&q=80,0
arben.plumbing@quickfix.test,Bathroom Fixture Installation,https://images.unsplash.com/photo-1584622650111-993a426fbf0a?auto=format&fit=crop&w=1200&q=80,0
lira.electric@quickfix.test,Electrical Troubleshooting,https://images.unsplash.com/photo-1621905252507-b35492cc74b4?auto=format&fit=crop&w=1200&q=80,0
lira.electric@quickfix.test,Lighting Installation,https://images.unsplash.com/photo-1565814329452-e1efa11c5b89?auto=format&fit=crop&w=1200&q=80,0
drita.clean@quickfix.test,Apartment Deep Cleaning,https://images.unsplash.com/photo-1581578731548-c64695cc6952?auto=format&fit=crop&w=1200&q=80,0
drita.clean@quickfix.test,Office Weekly Cleaning,https://images.unsplash.com/photo-1527515637462-cff94eecc1ac?auto=format&fit=crop&w=1200&q=80,0
besa.hvac@quickfix.test,AC Service and Maintenance,https://images.unsplash.com/photo-1621905251918-48416bd8575a?auto=format&fit=crop&w=1200&q=80,0
besa.hvac@quickfix.test,Heating System Check,https://images.unsplash.com/photo-1581092921461-eab62e97a780?auto=format&fit=crop&w=1200&q=80,0
colorpro@quickfix.test,Interior Room Painting,https://images.unsplash.com/photo-1562259949-e8e7689d7828?auto=format&fit=crop&w=1200&q=80,0
fixplus@quickfix.test,Furniture Assembly,https://images.unsplash.com/photo-1586023492125-27b2c045efd7?auto=format&fit=crop&w=1200&q=80,0
fixplus@quickfix.test,Washing Machine Repair,https://images.unsplash.com/photo-1626806787461-102c1bfaaea1?auto=format&fit=crop&w=1200&q=80,0
