providerOwnerEmail,serviceTitle,tagName
arben.plumbing@quickfix.test,Emergency Leak Repair,emergency
arben.plumbing@quickfix.test,Emergency Leak Repair,same-day
arben.plumbing@quickfix.test,Bathroom Fixture Installation,residential
lira.electric@quickfix.test,Electrical Troubleshooting,licensed
lira.electric@quickfix.test,Electrical Troubleshooting,same-day
lira.electric@quickfix.test,Lighting Installation,warranty
drita.clean@quickfix.test,Apartment Deep Cleaning,eco-friendly
drita.clean@quickfix.test,Office Weekly Cleaning,commercial
besa.hvac@quickfix.test,AC Service and Maintenance,warranty
besa.hvac@quickfix.test,Heating System Check,weekend
colorpro@quickfix.test,Interior Room Painting,residential
fixplus@quickfix.test,Furniture Assembly,same-day
fixplus@quickfix.test,Washing Machine Repair,warranty
